,0
0,723.9294816517236
1,723.9294816517236
2,723.9294816517236
3,723.9294816517236
4,838.5008441240306
5,911.077614874966
6,723.9294816517236
7,723.9294816517236
8,723.9294816517236
9,257.98275520018694
10,723.9294816517236
11,738.6065835297982
12,723.9294816517236
13,723.9294816517236
14,723.9294816517236
15,723.9294816517236
16,723.9294816517236
17,723.9294816517236
18,723.9294816517236
19,666.7934535644316
20,723.9294816517236
21,723.9294816517236
22,723.9294816517236
23,447.37790527670467
24,723.9294816517236
25,723.9294816517236
26,723.9294816517236
27,723.9294816517236
28,620.1267129093612
29,723.9294816517236
30,271.12612531025314
31,723.9294816517236
32,723.9294816517236
33,301.69612502619367
34,723.9294816517236
35,723.9294816517236
36,723.9294816517236
37,1986.378161251152
38,723.9294816517236
39,723.9294816517236
40,723.9294816517236
41,723.9294816517236
42,723.9294816517236
43,723.9294816517236
44,723.9294816517236
45,723.9294816517236
46,257.998460498715
47,723.9294816517236
48,301.69612502619367
49,723.9294816517236
50,723.9294816517236
51,723.9294816517236
52,723.9294816517236
53,723.9294816517236
54,272.08123133327973
55,257.98275520018694
56,723.9294816517236
57,723.9294816517236
58,723.9294816517236
59,723.9294816517236
60,723.9294816517236
61,723.9294816517236
62,723.9294816517236
63,723.9294816517236
64,723.9294816517236
65,723.9294816517236
66,297.97315020037405
67,723.9294816517236
68,723.9294816517236
69,723.9294816517236
70,723.9294816517236
71,723.9294816517236
72,723.9294816517236
73,723.9294816517236
74,905.5231559655327
75,723.9294816517236
76,738.6065835297982
77,723.9294816517236
78,965.7504097770203
79,723.9294816517236
80,723.9294816517236
81,297.97315020037405
82,738.6065835297982
83,723.9294816517236
84,723.9294816517236
85,723.9294816517236
86,738.6065835297982
87,723.9294816517236
88,1986.378161251152
89,723.9294816517236
90,911.077614874966
91,723.9294816517236
92,723.9294816517236
93,723.9294816517236
94,875.852333925035
95,875.852333925035
96,723.9294816517236
97,723.9294816517236
98,850.6429697985302
99,723.9294816517236
100,1986.378161251152
101,723.9294816517236
102,723.9294816517236
103,1986.378161251152
104,723.9294816517236
105,620.1267129093612
106,2001.055263129227
107,723.9294816517236
108,723.9294816517236
109,723.9294816517236
110,723.9294816517236
111,723.9294816517236
112,952.8705552559061
113,723.9294816517236
114,723.9294816517236
115,301.69612502619367
116,723.9294816517236
117,723.9294816517236
118,738.6065835297982
119,723.9294816517236
120,271.12612531025314
121,257.998460498715
122,723.9294816517236
123,723.9294816517236
124,723.9294816517236
125,723.9294816517236
126,723.9294816517236
127,723.9294816517236
128,723.9294816517236
129,723.9294816517236
130,723.9294816517236
131,723.9294816517236
132,723.9294816517236
133,723.9294816517236
134,723.9294816517236
135,723.9294816517236
136,911.077614874966
137,723.9294816517236
138,723.9294816517236
139,723.9294816517236
140,723.9294816517236
141,723.9294816517236
142,838.5008441240306
143,723.9294816517236
144,723.9294816517236
145,1986.378161251152
