,0
0,626.1412465923032
1,1638.2934824849808
2,699.2261161688808
3,619.6220961925343
4,292.5071435453649
5,887.280138385309
6,816.1855653745963
7,1390.596065063187
8,253.94840245998887
9,375.6547732887619
10,898.0772079720249
11,340.97972089697186
12,544.3193965570526
13,416.59919554074025
14,313.2405799255282
15,1207.0306457841064
16,733.4189313683937
17,689.4101740412895
18,741.7568531554491
19,445.93173133184956
20,833.7628793648937
21,460.6039383743629
22,642.4248729961
23,710.9335560332448
24,804.3610233483569
25,324.17671295279973
26,624.592805947766
27,1362.6397536631594
28,1228.9938817015648
29,1506.6612099670615
30,282.2814438970612
31,716.6032308994635
32,785.7304028110218
33,245.85025721641054
34,346.361278141524
35,637.5075012781863
36,328.32230604578035
37,655.2812716049491
38,860.659586154426
39,326.2246806623219
40,347.8271279067446
41,379.76780310658165
42,173.79372913548661
43,434.8446944734038
44,491.9331528309608
45,922.5656058673067
46,2068.384024811439
47,1368.7554364499697
48,1346.562062457179
49,598.2061665982854
50,599.0126227724355
51,577.974597136004
52,548.5889071101886
53,341.32170216409855
54,377.6911415096643
55,495.3380629526369
56,526.7269749818502
57,324.0939362430836
58,690.8231299117174
59,659.6705305800881
60,671.3212947263123
61,948.8641511078788
62,292.6380215089195
63,190.60334653327794
64,357.43214310764796
65,778.1049331195246
66,301.47449729940126
67,1228.3976423180413
68,1458.7282161055527
69,406.13465344150507
70,269.8305102575947
71,326.6813979383068
72,1068.8687945471515
73,362.06201117280256
74,1015.3476041893331
75,281.53893384121193
76,310.4806020984459
77,394.2420422335141
78,219.58137238399394
79,318.83692617261323
80,694.7755275601799
81,419.0535811211008
82,537.3787502873993
83,869.9457877276449
84,382.2772605730224
85,387.4911720070555
86,367.46370053708955
87,634.8711456783054
88,278.7757293413632
89,983.6355305107904
90,334.19080276289327
91,861.5246552099659
92,490.88592364646445
93,788.6547014152155
94,828.3969431954757
95,625.060874429436
96,691.3931315775932
97,369.53134207916906
98,1190.7650711354022
99,329.386552637432
100,173.0945372776327
101,337.7711351720746
102,933.6425914621846
103,362.3616038320761
104,1072.3862176830046
105,1074.6298900521335
106,219.60707150515978
107,398.01553143331313
108,803.5855050551693
109,262.07269355534606
110,741.3357851176042
111,451.0634372673475
112,629.9492918651091
113,681.3284105058578
114,322.28199013948756
115,406.01085254637024
116,403.7133032928273
117,716.1124778965972
118,347.65393571437033
119,387.97836936351825
120,402.65913340739604
121,257.1775515602639
122,1315.191413948661
123,331.8383388762354
124,1818.73108478083
125,414.66460824058595
126,616.5141173975253
127,823.8369510378682
128,508.8144993512458
129,420.4384568721589
130,346.95072358660644
131,500.74720997209425
132,446.4240639726369
133,1846.140779667689
134,377.2524583230003
135,633.8190552680949
136,991.1746943762649
137,372.23771180235434
138,844.70212020547
139,293.6178263193845
140,530.4918007204409
141,356.0941170418398
142,733.3928902127526
143,1491.404540678986
144,584.1093567864931
145,318.3373732375962
146,1514.3584359376823
147,835.7286597860756
148,388.1672808480908
149,1938.3804256494266
150,188.7043178658736
151,950.0258081251553
152,312.58869922654736
153,374.88033182726576
154,333.77394607785754
155,154.49928774381934
156,754.739310399616
157,1158.6026899035826
158,415.50338404786226
159,336.83794228882005
160,506.9731916350275
161,1225.4244042306393
162,308.76787733159614
163,406.5336319240709
164,384.7300111696814
165,1281.0432586729694
166,402.4038198538526
167,592.9406300686917
168,1048.637280221796
169,1137.8891653423657
170,703.6544155007499
171,417.4330478647149
172,911.5862157354948
173,726.0751439289871
174,308.8987126881736
175,189.90436775618787
176,556.7846411237368
177,687.9280117127709
178,331.531984825767
179,519.1941504733475
180,505.034089849582
181,382.7554358195732
182,807.871986662172
183,219.5980581719092
184,1153.966829581583
185,365.132086099207
186,375.1596128806465
187,702.7640056353265
188,342.2239228648644
189,370.14705962284205
190,727.4478881534341
191,361.6578102515458
192,1247.6750579019358
193,742.1605535797338
194,382.75639722079023
195,344.5906695567568
196,315.2293951478709
197,193.95561855825892
198,1023.7735542266494
199,271.0855384543762
200,161.47301351687463
201,333.70325540410585
202,668.3487921459475
203,560.1796351175751
204,1025.3898601683354
205,377.0715574471925
206,687.0974951305376
207,301.58426029695823
208,1156.801836163909
209,343.6351038081979
210,322.6871193853306
211,553.2577183801372
212,341.830537863378
213,413.20351542580386
